participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,beta_med,gender,age,affiliation,group_type,round 1_max_contribute,round 1_max_payoff,round 2_max_contribute,round 2_max_payoff,round 3_max_contribute,round 3_max_payoff,round 4_max_contribute,round 4_max_payoff,round 5_max_contribute,round 5_max_payoff,round 6_max_contribute,round 6_max_payoff,round 7_max_contribute,round 7_max_payoff,round 8_max_contribute,round 8_max_payoff,round 9_max_contribute,round 9_max_payoff,round 10_max_contribute,round 10_max_payoff,round 1_max_c_and_p,round 2_max_c_and_p,round 3_max_c_and_p,round 4_max_c_and_p,round 5_max_c_and_p,round 6_max_c_and_p,round 7_max_c_and_p,round 8_max_c_and_p,round 9_max_c_and_p,round 10_max_c_and_p
baseSUB01,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11.8,11.8,11.2,10.6,10.6,11.2,10,11.2,10,11.8,3,3,2,1,1,2,0,2,0,3,3,5,2,4,1,2,2,7,2,6,-0.0215,0.0555,2,23,10,base,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
baseSUB02,4,3,3,3,2,1,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,10.2,14.8,13,11.8,12.8,9.6,10,10,10,11.2,7,13,10,8,8,1,0,0,0,2,1,2,8,6,6,5,4,4,8,5,-0.0215,0.0555,1,22,12,base,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
baseSUB03,0,0,1,2,0,0,1,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13,12.4,12.6,12.2,10,11.2,9.6,10,10.6,11.2,5,4,6,7,0,2,1,0,1,2,4,8,4,7,7,7,6,5,5,5,-0.0215,0.2365,0,23,10,base,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
baseSUB04,3,3,2,2,1,0,0,0,0,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,17.2,15.4,12.8,12.8,9.6,10,10,10,16,7.2,17,14,8,8,1,0,0,0,10,12,7,1,1,6,1,1,2,1,7,7,-0.0215,0.0555,0,25,22,base,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
baseSUB05,8,7,5,5,7,0,2,0,1,2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,12.2,12.6,11,15.2,7.2,10,9.2,10,9.6,15.2,17,16,10,17,7,0,2,0,1,12,7,7,8,1,4,6,3,3,5,7,0.024,0.0555,0,24,22,base,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
baseSUB06,10,10,10,10,5,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,9,6,7.8,10.2,9.2,10,10.6,11.2,11.2,10,15,10,13,17,7,0,1,2,2,0,6,6,3,1,8,1,5,7,4,3,-0.0215,0.0555,1,20,5,base,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1
baseSUB07,5,3,5,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14,8.8,9.8,11.2,20.8,11.8,10.6,10,10.6,10,15,3,8,2,18,3,1,0,1,0,6,5,1,3,5,4,1,5,5,4,-0.0215,0.0555,0,25,22,base,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1
baseSUB08,0,0,2,3,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,19,17.8,14,14.8,12.4,10,10.6,10,10,10,15,13,10,13,4,0,1,0,0,0,6,2,8,2,2,6,6,5,2,4,0.024,-0.0715,0,22,27,base,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1
baseSUB09,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.2,16,17.8,12.4,13,12.4,10,10,10,10,7,10,13,4,5,4,0,0,0,0,1,6,7,5,3,3,7,3,8,4,-0.0215,0.0555,0,22,10,base,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
baseSUB10,3,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,8.8,16,17.8,11.2,14.8,11.2,10,10,11.2,10,3,10,13,2,8,2,0,0,2,0,3,6,3,3,6,7,7,4,6,1,-0.0215,0.0555,1,23,22,base,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
baseSUB11,3,2,1,3,0,2,1,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13.6,10.4,11.4,11.8,14.2,10.4,9.6,10,10,16,11,4,4,8,7,4,1,0,0,10,2,8,6,8,4,3,1,1,3,8,-0.0215,0.0555,1,22,28,base,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
baseSUB12,4,3,3,2,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11.4,13.6,10.6,9.2,10,10,10.6,10,16,10,9,11,6,2,0,0,1,0,10,0,5,4,5,3,7,6,5,4,7,1,0.024,0.0555,1,22,12,base,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
baseSUB13,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11.8,11.8,13.6,17.8,10,11.2,10,14.8,11.2,10,3,3,6,13,0,2,0,8,2,0,3,5,5,2,7,2,4,8,6,1,-0.0215,0.0555,0,19,10,base,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1
baseSUB14,8,5,3,5,0,0,1,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,8.6,11.6,14.8,9.2,14.2,16,9.6,10,10,10,11,11,13,7,7,10,1,0,0,0,2,4,7,7,4,8,5,2,2,3,-0.313,0.85,0,21,10,base,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
baseSUB15,2,2,2,2,2,2,2,2,2,2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11,10.4,9.2,18.2,12.2,9.2,20,9.2,9.2,9.2,5,4,2,17,7,2,20,2,2,2,4,8,2,1,8,7,8,7,6,5,-0.0215,0.0555,0,20,10,base,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
baseSUB16,3,3,3,1,0,2,0,0,0,3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,17.8,13.6,9.4,9.6,12.4,9.2,11.2,10,14.8,8.8,18,11,4,1,4,2,2,0,8,3,8,4,6,4,2,2,3,1,1,6,0.024,0.2365,1,22,12,base,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
baseSUB17,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,10.8,7.8,7.8,7.8,10.8,6,12,6,6,6,18,13,13,13,18,10,20,10,10,10,8,2,7,2,5,8,8,6,7,8,-0.0215,0.5145,1,19,6,base,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
baseSUB18,5,8,3,5,8,2,8,8,8,8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,10.4,9.8,14.8,9.8,12.8,10.4,14,6.8,6.8,9.2,9,13,13,8,18,4,20,8,8,12,5,3,3,8,5,3,8,8,1,2,0.024,0.0555,0,27,29,base,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
baseSUB19,0,4,3,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15.4,13.8,10.6,14.2,14.2,11.8,10,16,10,11.8,9,13,6,7,7,3,0,10,0,3,5,3,4,7,8,4,4,6,8,6,-0.0215,0.0555,0,23,10,base,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
baseSUB20,5,1,1,4,4,0,0,0,0,4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15.8,16.8,13.8,8.4,8.4,10,10.6,10,11.2,13.2,18,13,8,4,4,0,1,0,2,12,8,3,1,5,2,1,6,3,4,2,0.024,0.0555,0,20,10,base,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
baseSUB21,3,3,3,0,3,3,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,10,16.6,10.6,14.8,10,8.8,10,10,14.8,17.2,5,16,6,8,5,3,0,0,8,12,4,7,5,8,3,4,7,2,1,2,-0.0215,0.0555,1,21,10,base,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
baseSUB22,0,10,0,0,2,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,16.6,8.4,11.2,12.4,11,10.6,11.2,10,10,16,11,14,2,4,5,1,2,0,0,10,2,1,2,5,3,5,3,2,3,8,-0.0215,0.0555,0,23,22,base,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
baseSUB23,6,6,2,3,6,0,0,0,2,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.2,13.6,11.6,11.8,8.8,10.6,10.6,16,9.2,17.2,17,16,6,8,8,1,1,10,2,12,7,7,4,6,6,5,1,6,4,7,-0.0215,0.0555,1,20,6,base,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
baseSUB24,3,1,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11.2,17.4,12.4,10.6,10.6,16,10,14.8,10,10,7,14,4,1,1,10,0,8,0,0,1,1,6,4,1,8,2,8,3,3,-0.0215,0.0555,0,22,22,base,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
basesub25,10,6,2,5,5,2,1,1,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,9,13,17.6,15.2,9.2,13.4,12.6,11.4,11.8,10.6,15,15,16,17,7,9,6,4,3,1,13,9,16,10,10,16,12,10,9,13,-0.0215,-0.0715,1,21,10,base,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
basesub26,4,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,10.2,17.2,11.8,14.8,11.2,14.2,10,11.2,10,10.6,7,12,3,8,2,7,0,2,0,1,9,14,12,15,11,12,10,12,11,13,-0.0215,0.0555,0,24,22,base,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0
basesub27,4,10,3,0,1,0,1,2,0,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,20.4,7.2,8.8,14.8,10.2,10,13.2,12.2,11.8,9.6,24,12,3,8,2,0,7,7,3,1,16,11,12,15,11,13,13,16,9,15,0.024,0.85,1,23,22,base,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
basesub28,5,5,6,3,0,0,3,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14,12.2,14.2,11.2,16.6,10,10,10.6,10,16,15,12,17,7,11,0,5,1,0,10,13,14,11,12,14,13,16,9,16,14,-0.0215,0.303,0,23,12,base,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
basesub29,3,1,6,1,0,3,0,6,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11.2,18,14.8,13.2,17.2,13.6,10.6,7.6,15.6,9.6,7,15,18,7,12,11,1,6,11,1,9,9,9,16,15,10,9,13,13,13,-0.313,0.5895,1,24,29,base,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
basesub30,10,10,10,10,10,10,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,7.8,12.6,9.6,9.6,6.6,6,10,16,11.2,13,13,21,16,16,11,10,0,10,2,5,15,13,16,9,16,15,10,14,14,16,0.024,0.85,0,21,4,base,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
basesub31,10,8,5,5,3,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,10.8,11,17.6,9.2,10,16,10,16.6,10,10,18,15,21,7,5,10,0,11,0,0,12,9,10,16,12,15,10,15,10,12,0.024,0.0555,0,21,10,base,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
basesub32,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.2,17.2,11.8,16,17.8,16,11.2,13.6,10,16,7,12,3,10,13,10,2,6,0,10,9,11,12,13,9,11,14,13,11,9,0.024,0.0555,0,23,3,base,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
basesub33,2,2,1,1,1,2,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15.8,15.2,17.4,13.2,10.2,12.2,13.2,11.4,10.2,9.6,13,12,14,7,2,7,7,4,2,1,10,11,13,12,11,12,13,11,14,10,0.129,-0.0715,1,21,12,base,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
basesub34,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.4,12.6,12.6,6,11.4,12,6.6,6,6.6,6,24,21,21,10,19,20,11,10,11,10,16,13,10,13,13,9,11,14,13,14,-0.313,0.4835,0,21,3,base,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
basesub35,5,5,6,5,5,5,1,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.6,17,12.4,15.2,12.2,10.4,9.6,14.2,10,10,16,20,14,17,12,9,1,7,0,0,11,16,13,11,15,16,9,16,15,11,-0.0215,0.0555,0,21,10,base,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
basesub36,5,1,6,7,7,5,0,5,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,12.8,21.6,16.6,9.6,10.2,11,11.2,9.2,16.6,10,13,21,21,11,12,10,2,7,11,0,10,13,10,14,15,14,14,16,13,12,-0.0215,0.0555,0,21,10,base,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
basesub37,0,10,10,0,6,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,19,15.6,13.2,19.6,11.8,10,10.6,12.4,10,16,15,26,22,16,13,0,1,4,0,10,13,15,14,9,9,13,9,11,16,9,-0.313,0.303,0,20,11,base,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0
basesub38,10,5,4,3,1,4,2,3,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.4,12.8,15.6,11.2,13.2,18,11,9.4,10,13,24,13,16,7,7,20,5,4,0,5,16,12,16,12,10,9,16,11,16,16,-0.0215,0.0555,0,23,22,base,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
basesub39,5,7,0,5,5,0,5,0,0,5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.6,10.2,13.6,15.2,11.6,16.6,8.6,16,10,8,16,12,6,17,11,11,6,10,0,5,11,14,15,11,14,10,12,14,10,16,-0.0215,0.0555,1,20,10,base,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
basesub40,4,6,7,4,0,8,1,2,1,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13.8,19.6,11.4,12.6,16.6,8.6,15.6,9.2,10.2,10,13,26,14,11,11,11,11,2,2,0,14,15,13,14,16,10,11,12,14,12,0.024,0.70194,1,22,10,base,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
basesub41,3,5,3,6,3,5,0,1,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,17.8,12.8,17.2,13.6,18.4,9.2,13.6,9.6,10,10.6,18,13,17,16,19,7,6,1,0,1,12,12,11,9,13,12,12,9,11,10,0.129,0.4835,1,23,29,base,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
basesub42,1,2,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,16.8,14.6,13.6,16,13,16,16.6,13.6,10,10,13,11,6,10,5,10,11,6,0,0,15,10,15,13,12,15,11,13,15,11,-0.0215,0.0555,0,20,10,base,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
basesub43,2,2,2,1,1,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15.8,14.6,18.8,13.2,15.6,16,15.4,10.6,10,16,13,11,18,7,11,10,9,1,0,10,15,10,9,16,16,14,15,9,15,14,0.024,0.0555,1,19,8,base,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
basesub44,5,10,10,0,7,10,2,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,12.8,15.6,13.2,16.6,10.8,6,9.2,11.2,11.2,10.6,13,26,22,11,13,10,2,2,2,1,14,15,14,14,9,11,14,12,12,15,0.024,0.0555,2,21,10,base,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
